nombre|stock|precio|marca|link|hora|fecha
Arvejas Secas Remojadas DIA 340 Gr.|563|49.00|DIA|https://diaonline.supermercadosdia.com.ar/arvejas-secas-remojadas-dia-340-gr-214029/p|01:24:34|2022-03-20
Lomitos de Atún al natural DIA 170 Gr.|4438|188.00|DIA|https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-al-natural-dia-170-gr-55812/p|01:24:34|2022-03-20
Sal Fina en Paquete Celusal 500 Gr.|333|56.25|CELUSAL|https://diaonline.supermercadosdia.com.ar/sal-fina-en-paquete-celusal-500-gr-47582/p|01:24:34|2022-03-20
Puré de Tomate DIA 520 Gr.|2556|60.00|DIA|https://diaonline.supermercadosdia.com.ar/pure-de-tomate-dia-520-gr-34593/p|01:24:34|2022-03-20
Granos de Choclo Amarillo DIA 300 Gr.|2005|96.00|DIA|https://diaonline.supermercadosdia.com.ar/granos-de-choclo-amarillo-dia-300-gr-33512/p|01:24:34|2022-03-20
Arroz Molinos Ala Gran Selecto Largo Fino 1 Kg.|42|95.00|MOLINOS ALA|https://diaonline.supermercadosdia.com.ar/arroz-molinos-ala-gran-selecto-largo-fino-1-kg-274525/p|01:24:34|2022-03-20
Aceite Girasol Alsamar 1,5 Lts.|81|227.42|ALSAMAR|https://diaonline.supermercadosdia.com.ar/aceite-girasol-alsamar-15-lts-272259/p|01:24:34|2022-03-20
Salsa Para Pizza DIA Doypack 340 Gr.|137|65.00|DIA|https://diaonline.supermercadosdia.com.ar/salsa-para-pizza-dia-doypack-340-gr-159480/p|01:24:34|2022-03-20
Fideos Tirabuzón Cuquets 500 Gr.|1190|45.00|CUQUETS|https://diaonline.supermercadosdia.com.ar/fideos-tirabuzon-cuquets-500-gr-142004/p|01:24:34|2022-03-20
Papas Fritas Tubo DIA Sabor Original 150 Gr.|2179|219.00|DIA|https://diaonline.supermercadosdia.com.ar/papas-fritas-tubo-dia-sabor-original-150-gr-134494/p|01:24:34|2022-03-20
Fideos Mostachol Cuquets 500 Gr.|1754|45.00|CUQUETS|https://diaonline.supermercadosdia.com.ar/fideos-mostachol-cuquets-500-gr-120039/p|01:24:34|2022-03-20
Fideos Tallarín Lucchetti 500 Gr.|312|66.05|LUCCHETTI|https://diaonline.supermercadosdia.com.ar/fideos-tallarin-lucchetti-500-gr-110440/p|01:24:34|2022-03-20
Fideos Tirabuzón Lucchetti 500 Gr.|109|66.05|LUCCHETTI|https://diaonline.supermercadosdia.com.ar/fideos-tirabuzon-lucchetti-500-gr-86370/p|01:24:34|2022-03-20
Lomitos de Atún Al Natural DIA 240 Gr.|71|320.00|DIA|https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-al-natural-dia-240-gr-77013/p|01:24:34|2022-03-20
Aceite de Girasol Cañuelas 1,5 Lts.|1078|245.93|CAÑUELAS|https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-canuelas-15-lts-73552/p|01:24:34|2022-03-20
Lomitos de Atún en Aceite DIA 170 Gr.|506|188.00|DIA|https://diaonline.supermercadosdia.com.ar/lomitos-de-atun-en-aceite-dia-170-gr-55813/p|01:24:34|2022-03-20
Vinagre de Alcohol DIA 1 Lt.|47|94.00|DIA|https://diaonline.supermercadosdia.com.ar/vinagre-de-alcohol-dia-1-lt-53468/p|01:24:34|2022-03-20
Aceite en Aerosol DIA 120 Gr.|40|204.99|DIA|https://diaonline.supermercadosdia.com.ar/aceite-en-aerosol-dia-120-gr-53460/p|01:24:34|2022-03-20
Tomate Perita Pelado DIA 400 Gr.|1388|85.00|DIA|https://diaonline.supermercadosdia.com.ar/tomate-perita-pelado-dia-400-gr-34596/p|01:24:34|2022-03-20
Durazno en Mitades DIA 820 Gr.|1500|205.00|DIA|https://diaonline.supermercadosdia.com.ar/durazno-en-mitades-dia-820-gr-34544/p|01:24:34|2022-03-20
Mostaza Savora Original DoyPack 250 Gr.|50|113.00|SAVORA|https://diaonline.supermercadosdia.com.ar/mostaza-savora-original-doypack-250-gr-25631/p|01:24:34|2022-03-20
Harina Leudante DIA 1 Kg.|806|86.00|DIA|https://diaonline.supermercadosdia.com.ar/harina-leudante-dia-1-kg-24274/p|01:24:34|2022-03-20
Harina de Trigo 0000 DIA 1 Kg.|1757|69.00|DIA|https://diaonline.supermercadosdia.com.ar/harina-de-trigo-0000-dia-1-kg-24273/p|01:24:34|2022-03-20
Harina de Trigo 000 DIA 1 Kg.|2378|60.00|DIA|https://diaonline.supermercadosdia.com.ar/harina-de-trigo-000-dia-1-kg-24272/p|01:24:34|2022-03-20
Arroz Largo Fino 0000 DIA 1 Kg.|627|75.00|DIA|https://diaonline.supermercadosdia.com.ar/arroz-largo-fino-0000-dia-1-kg-24232/p|01:24:34|2022-03-20
Aceite de Girasol Morixe 900 Ml.|908|239.00|MORIXE|https://diaonline.supermercadosdia.com.ar/aceite-de-girasol-morixe-900-ml-276047/p|01:24:34|2022-03-20
