nombre|stock|precio|marca|link|hora|fecha
Pañales Huggies Classic XG 18 Un.|40|272.28|HUGGIES|https://diaonline.supermercadosdia.com.ar/panales-huggies-classic-xg-18-un-169267/p|01:24:59|2022-03-20
Pañales Huggies Classic Plus Megapack XXG 17 Un.|14|272.28|HUGGIES|https://diaonline.supermercadosdia.com.ar/panales-huggies-classic-plus-megapack-xxg-17-un-169266/p|01:24:59|2022-03-20
Toallitas Babysmile con Óleo Calcareo 50 Un.|75|179.00|BABYSMILE|https://diaonline.supermercadosdia.com.ar/toallitas-babysmile-con-oleo-calcareo-50-un-224782/p|01:24:59|2022-03-20
Leche Infantil Nutrilon Profutura 1 200 Ml.|127|120.90|NUTRILON|https://diaonline.supermercadosdia.com.ar/leche-infantil-nutrilon-profutura-1-200-ml-202638/p|01:24:59|2022-03-20
Pañales Pampers Confort Sec Extra Plus T. G 22 Un.|19|683.00|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-confort-sec-extra-plus-t-g-22-un-283058/p|01:24:59|2022-03-20
Pañales Pampers SuperSec G 22 Un.|11|444.03|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-supersec-g-22-un-215433/p|01:24:59|2022-03-20
Pañales Pampers Supersec M 26 Un.|12|444.03|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-supersec-m-26-un--215432/p|01:24:59|2022-03-20
Toallitas Húmedas Baby Smile Flow Pack 50 Un.|59|178.00|BABYSMILE|https://diaonline.supermercadosdia.com.ar/toallitas-humedas-baby-smile-flow-pack-50-un-179856/p|01:24:59|2022-03-20
Pañales Pampers Confort Sec Extra Plus Recién Nacidos 36 Un.|2|683.00|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-confort-sec-extra-plus-recien-nacidos-36-un-283062/p|01:24:59|2022-03-20
Pañales Pampers Confort Sec Extra Plus T. XXG 16 Un.|19|683.00|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-confort-sec-extra-plus-t-xxg-16-un-283060/p|01:24:59|2022-03-20
Pañales Pampers Confort Sec Extra Plus T. XG 18 Un.|70|683.00|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-confort-sec-extra-plus-t-xg-18-un-283059/p|01:24:59|2022-03-20
Pañales Pampers Confort Sec Extra Plus T. P 36 Un.|8|683.00|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-confort-sec-extra-plus-t-p-36-un-283056/p|01:24:59|2022-03-20
Pañales Huggies Flexi Comfort T. P 3,5 a 6 Kg. 30 Un.|11|531.50|HUGGIES|https://diaonline.supermercadosdia.com.ar/panales-huggies-flexi-comfort-t-p-35-a-6-kg-30-un-279449/p|01:24:59|2022-03-20
Shampoo Johnson's Baby Manzanilla 400 Ml.|21|586.36|JOHNSONS BABY|https://diaonline.supermercadosdia.com.ar/shampoo-johnson-s-baby-manzanilla-400-ml-273328/p|01:24:59|2022-03-20
Leche Sancor Bebé Etapa 1 Modificada 500 Ml.|41|208.90|SANCOR|https://diaonline.supermercadosdia.com.ar/leche-sancor-bebe-etapa-1-modificada-500-ml-272885/p|01:24:59|2022-03-20
Toallitas Húmedas Pampers 48 Un.|34|245.30|PAMPERS|https://diaonline.supermercadosdia.com.ar/toallitas-humedas-pampers-48-un-263721/p|01:24:59|2022-03-20
Toallitas Húmedas Johnson's 44 Un.|53|285.88|JOHNSON|https://diaonline.supermercadosdia.com.ar/toallitas-humedas-johnson-s-44-un-263509/p|01:24:59|2022-03-20
Pañales Pampers SuperSec Pequeño 30 Un.|21|486.96|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-supersec-pequeno-30-un-218251/p|01:24:59|2022-03-20
Pañales Pampers Supersec XG 18 Un.|22|444.03|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-supersec-xg-18-un--215434/p|01:24:59|2022-03-20
Leche Infantil La Serenisima Baby 1 200 Ml.|132|48.63|BABY|https://diaonline.supermercadosdia.com.ar/leche-infantil-la-serenisima-baby-1-200-ml-197974/p|01:24:59|2022-03-20
Pañales BabySmile Talle G 10 - 13 Kg. 20 Un.|26|351.20|BABY SMILE|https://diaonline.supermercadosdia.com.ar/panales-babysmile-talle-g-10--13-kg-20-un-180788/p|01:24:59|2022-03-20
Crema Hipoglós Cuidado Diario 30 Gr.|60|615.90|HIPOGLOS|https://diaonline.supermercadosdia.com.ar/crema-hipoglos-cuidado-diario-30-gr-277180/p|01:24:59|2022-03-20
Toallitas Húmedas Huggies Triple Protección con Óleo Calcáreo 48 Un.|88|386.00|HUGGIES|https://diaonline.supermercadosdia.com.ar/toallitas-humedas-huggies-triple-proteccion-con-oleo-calcareo-48-un-275920/p|01:24:59|2022-03-20
Pañales Pampers Confort Sec Plus T. M 6-10 Kg. 26 Un.|24|683.00|PAMPERS|https://diaonline.supermercadosdia.com.ar/panales-pampers-confort-sec-plus-t-m-6-10-kg-26-un-275024/p|01:24:59|2022-03-20
Pañales Huggies Flexi Comfort T. RN 34 Un.|20|940.65|HUGGIES|https://diaonline.supermercadosdia.com.ar/panales-huggies-flexi-comfort-t-rn-34-un-274700/p|01:24:59|2022-03-20
Pañales Huggies Flexi Comfort T.G 20 Un.|28|694.00|HUGGIES|https://diaonline.supermercadosdia.com.ar/panales-huggies-flexi-comfort-tg-20-un-274697/p|01:24:59|2022-03-20
Pañales Huggies Flexi Comfort T.M 22 Un.|18|694.00|HUGGIES|https://diaonline.supermercadosdia.com.ar/panales-huggies-flexi-comfort-tm-22-un-274696/p|01:24:59|2022-03-20
