nombre|stock|precio|marca|link|hora|fecha
Jugo en Polvo Clight Naranja 8 Gr.|428|36.69|CLIGHT|https://diaonline.supermercadosdia.com.ar/jugo-en-polvo-clight-naranja-8-gr-274217/p|01:24:41|2022-03-20
Gaseosa Coca-Cola sin azúcares 2,25 Lts.|568|249.00|COKE/COCACOLA|https://diaonline.supermercadosdia.com.ar/gaseosa-coca-cola-sin-azucares-225-lts-121537/p|01:24:41|2022-03-20
Sifón de soda Dia 2 Lts.|890|89.00|DIA|https://diaonline.supermercadosdia.com.ar/sifon-de-soda-dia-2-lts-55497/p|01:24:41|2022-03-20
Gaseosa Coca-Cola Sabor Original 2,25 Lts.|796|249.00|COKE/COCACOLA|https://diaonline.supermercadosdia.com.ar/gaseosa-coca-cola-sabor-original-225-lts-14837/p|01:24:41|2022-03-20
Gaseosa Coca-Cola Sabor Original Retornable 2 Lts.|421|199.00|COKE/COCACOLA|https://diaonline.supermercadosdia.com.ar/gaseosa-coca-cola-sabor-original-retornable-2-lts-2858/p|01:24:41|2022-03-20
Jugo en Polvo Tang Naranja Dulce 18 Gr.|837|22.00|TANG|https://diaonline.supermercadosdia.com.ar/jugo-en-polvo-tang-naranja-dulce-18-gr-274180/p|01:24:41|2022-03-20
Cerveza Amstel Lager Suave lata 473 Ml.|1368|132.00|AMSTEL|https://diaonline.supermercadosdia.com.ar/cerveza-amstel-lager-suave-lata-473-ml-271988/p|01:24:41|2022-03-20
Gaseosa Schweppes sin azúcares pomelo 2,25 Lts.|74|182.00|SCHWEPPES|https://diaonline.supermercadosdia.com.ar/gaseosa-schweppes-sin-azucares-pomelo-225-lts-259397/p|01:24:41|2022-03-20
Cerveza Rubia St. Wendeler 500 ml.|2036|140.00|ST WENDELER|https://diaonline.supermercadosdia.com.ar/cerveza-rubia-st-wendeler-500-ml-240514/p|01:24:41|2022-03-20
Bidón de agua Dia 6,5 Lts.|163|196.00|DIA|https://diaonline.supermercadosdia.com.ar/bidon-de-agua-dia-65-lts-230856/p|01:24:41|2022-03-20
Agua Sin gas DIA sin sodio 2 Lts.|426|64.20|DIA|https://diaonline.supermercadosdia.com.ar/agua-sin-gas-dia-sin-sodio-2-lts-215484/p|01:24:41|2022-03-20
Agua Saborizada Levité Manzana 2,25 Lts.|586|149.00|LEVITE|https://diaonline.supermercadosdia.com.ar/agua-saborizada-levite-manzana-225-lts-151052/p|01:24:41|2022-03-20
Agua Saborizada Levité Pomelo 2,25 Lts.|1019|149.00|LEVITE|https://diaonline.supermercadosdia.com.ar/agua-saborizada-levite-pomelo-225-lts-114263/p|01:24:41|2022-03-20
Gaseosa Coca-Cola sin azúcares Retornable 2 Lts.|392|199.00|COKE/COCACOLA|https://diaonline.supermercadosdia.com.ar/gaseosa-coca-cola-sin-azucares-retornable-2-lts-113932/p|01:24:41|2022-03-20
Agua Tónica DIA 2,25 Lts.|887|85.00|DIA|https://diaonline.supermercadosdia.com.ar/agua-tonica-dia-225-lts-103628/p|01:24:41|2022-03-20
