nombre|stock|precio|marca|link|hora|fecha
Espinaca Congelada DIA 400 Gr.|69|169.00|DIA|https://diaonline.supermercadosdia.com.ar/espinaca-congelada-dia-400-gr-24131/p|01:24:48|2022-03-20
Hamburguesa de Carne DIA Parrillera 4 Un.|73|499.00|DIA|https://diaonline.supermercadosdia.com.ar/hamburguesa-de-carne-dia-parrillera-4-un-164663/p|01:24:48|2022-03-20
Hamburguesa de Carne DIA 2 Un.|202|89.00|DIA|https://diaonline.supermercadosdia.com.ar/hamburguesa-de-carne-dia-2-un-109800/p|01:24:48|2022-03-20
Hamburguesa de Carne DIA 12 Un. 960 Gr.|118|990.00|DIA|https://diaonline.supermercadosdia.com.ar/hamburguesa-de-carne-dia-12-un-960-gr-24138/p|01:24:48|2022-03-20
Brocoli Congelado DIA 300 Gr.|47|219.00|DIA|https://diaonline.supermercadosdia.com.ar/brocoli-congelado-dia-300-gr-24135/p|01:24:48|2022-03-20
Hamburguesa de Carne Unión Ganadera 996 Gr.|74|1.339.00|UNION GANADERA|https://diaonline.supermercadosdia.com.ar/hamburguesa-de-carne-union-ganadera-996-gr-271994/p|01:24:48|2022-03-20
Langostinos Pelados Portobelo 250 Gr.|27|399.00|PORTOBELO|https://diaonline.supermercadosdia.com.ar/langostinos-pelados-portobelo-250-gr-262587/p|01:24:48|2022-03-20
Bocaditos de Pollo  Swift 380 Gr.|15|246.00|SWIFT|https://diaonline.supermercadosdia.com.ar/bocaditos-de-pollo-swift-380-gr-203935/p|01:24:48|2022-03-20
Nuggets de Pollo DIA 400 Gr.|56|249.00|DIA|https://diaonline.supermercadosdia.com.ar/nuggets-de-pollo-dia-400-gr-134846/p|01:24:48|2022-03-20
Bastón de Merluza Rebozado DIA 500 Gr.|23|349.00|DIA|https://diaonline.supermercadosdia.com.ar/baston-de-merluza-rebozado-dia-500-gr-30107/p|01:24:48|2022-03-20
Medallón de Merluza Rebozado DIA 4 Un.|35|249.00|DIA|https://diaonline.supermercadosdia.com.ar/medallon-de-merluza-rebozado-dia-4-un-30106/p|01:24:48|2022-03-20
Paty de Carne 960 Gr.|99|1.285.00|PATY|https://diaonline.supermercadosdia.com.ar/paty-de-carne-960-gr-24670/p|01:24:48|2022-03-20
Hamburguesa de Carne DIA 20 Un. 1,16 Kg.|32|1.639.00|DIA|https://diaonline.supermercadosdia.com.ar/hamburguesa-de-carne-dia-20-un-116-kg-24139/p|01:24:48|2022-03-20
Espinaca DIA Congelada 800 Gr.|21|399.00|DIA|https://diaonline.supermercadosdia.com.ar/espinaca-dia-congelada-800-gr-2041/p|01:24:48|2022-03-20
Milanesa de Soja Lucchetti Grandes extra crunch 560 Gr.|30|435.00|LUCCHETTI|https://diaonline.supermercadosdia.com.ar/milanesa-de-soja-lucchetti-grandes-extra-crunch-560-gr-275471/p|01:24:48|2022-03-20
Palitos Swift de Pollo 260 Gr.|32|265.00|SWIFT|https://diaonline.supermercadosdia.com.ar/palitos-swift-de-pollo-260-gr-275419/p|01:24:48|2022-03-20
Medallón de Pollo Portobelo 150 Gr.|146|119.00|PORTOBELO|https://diaonline.supermercadosdia.com.ar/medallon-de-pollo-portobelo-150-gr-264652/p|01:24:48|2022-03-20
Mejillones Pelados Portobelo  250 Gr.|9|249.00|PORTOBELO|https://diaonline.supermercadosdia.com.ar/mejillones-pelados-portobelo-250-gr-262590/p|01:24:48|2022-03-20
Medallón de Pollo Well Done 114 Gr.|186|75.00|WELL DONE|https://diaonline.supermercadosdia.com.ar/medallon-de-pollo-well-done-114-gr-249903/p|01:24:48|2022-03-20
Brocoli Congelado Granja del Sol 400 Gr.|37|300.00|GRANJA DEL SOL|https://diaonline.supermercadosdia.com.ar/brocoli-congelado-granja-del-sol-400-gr-217092/p|01:24:48|2022-03-20
Paty de Carne Clásicas 4 Un. 320 Gr.|59|374.00|PATY|https://diaonline.supermercadosdia.com.ar/paty-de-carne-clasicas-4-un-320-gr-166960/p|01:24:48|2022-03-20
Nuggets de Pollo Congelados Granja del Sol 300 Gr.|282|380.00|GRANJA DEL SOL|https://diaonline.supermercadosdia.com.ar/nuggets-de-pollo-congelados-granja-del-sol-300-gr-111162/p|01:24:48|2022-03-20
Patitas de Pollo Granja del Sol 400 Gr.|48|350.00|GRANJA DEL SOL|https://diaonline.supermercadosdia.com.ar/patitas-de-pollo-granja-del-sol-400-gr-46780/p|01:24:48|2022-03-20
Acelga Congelada DIA 400 Gr.|50|189.00|DIA|https://diaonline.supermercadosdia.com.ar/acelga-congelada-dia-400-gr-24132/p|01:24:48|2022-03-20
Formitas de Pollo Lucchetti 350 Gr.|52|304.08|LUCCHETTI|https://diaonline.supermercadosdia.com.ar/formitas-de-pollo-lucchetti-350-gr-276664/p|01:24:48|2022-03-20
Hamburguesas Swift Kids 4 Un. 276 Gr.|65|276.24|SWIFT|https://diaonline.supermercadosdia.com.ar/hamburguesas-swift-kids-4-un-276-gr-276159/p|01:24:48|2022-03-20
Hamburguesa de Carne Unión Ganadera 332 Gr.|47|495.00|UNION GANADERA|https://diaonline.supermercadosdia.com.ar/hamburguesa-de-carne-union-ganadera-332-gr-271993/p|01:24:48|2022-03-20
Fingers de Pollo Calisa Originales 320 Gr.|12|280.00|CALISA|https://diaonline.supermercadosdia.com.ar/fingers-de-pollo-calisa-originales-320-gr-264918/p|01:24:48|2022-03-20
Filetes de Merluza Natural Portobelo 500 Gr.|75|749.00|PORTOBELO|https://diaonline.supermercadosdia.com.ar/filetes-de-merluza-natural-portobelo-500-gr-262589/p|01:24:48|2022-03-20
Medallon de Carne Well Done 112 Gr.|237|75.00|WELL DONE|https://diaonline.supermercadosdia.com.ar/medallon-de-carne-well-done-112-gr-259142/p|01:24:48|2022-03-20
