nombre|stock|precio|marca|link|hora|fecha
Azúcar Plus DIA Común tipo A 1 Kg.|2742|99.00|DIA|https://diaonline.supermercadosdia.com.ar/azucar-plus-dia-comun-tipo-a-1-kg-130321/p|01:24:38|2022-03-20
Turrón Arcor con Maní 25 Gr.|17529|35.00|ARCOR|https://diaonline.supermercadosdia.com.ar/turron-arcor-con-mani-25-gr-17929/p|01:24:38|2022-03-20
Galleta de Agua Crackers Media Tarde 105 Gr.|1799|27.00|MEDIATARDE|https://diaonline.supermercadosdia.com.ar/galleta-de-agua-crackers-media-tarde-105-gr-280112/p|01:24:38|2022-03-20
Bizcochos 9 de Oro Agridulces 215 Gr.|1247|65.00|9 DE ORO|https://diaonline.supermercadosdia.com.ar/bizcochos-9-de-oro-agridulces-215-gr-276968/p|01:24:38|2022-03-20
Bizcochos 9 de Oro Clásicos 215 Gr.|700|65.00|9 DE ORO|https://diaonline.supermercadosdia.com.ar/bizcochos-9-de-oro-clasicos-215-gr-276665/p|01:24:38|2022-03-20
Galletita Terrabusi con Chips 144 Gr.|505|110.85|TERRABUSI|https://diaonline.supermercadosdia.com.ar/galletita-terrabusi-con-chips-144-gr-276517/p|01:24:38|2022-03-20
Dulce de Leche Clásico La Serenísima con calcio 400 Gr.|69|158.41|LA SERENISIMA|https://diaonline.supermercadosdia.com.ar/dulce-de-leche-clasico-la-serenisima-con-calcio-400-gr-273372/p|01:24:38|2022-03-20
Galletitas Macucas 110 Gr.|3501|49.00|MACUCAS|https://diaonline.supermercadosdia.com.ar/galletitas-macucas-110-gr-272217/p|01:24:38|2022-03-20
Galletitas Pepitos Tripack 357 Gr.|74|300.00|PEPITOS|https://diaonline.supermercadosdia.com.ar/galletitas-pepitos-tripack-357-gr-271632/p|01:24:38|2022-03-20
Galletitas Oreo 354 Gr.|60|316.16|OREO|https://diaonline.supermercadosdia.com.ar/galletitas-oreo-354-gr-271630/p|01:24:38|2022-03-20
Yerba Mate Playadito Suave 1 Kg.|540|549.00|PLAYADITO|https://diaonline.supermercadosdia.com.ar/yerba-mate-playadito-suave-1-kg-269577/p|01:24:38|2022-03-20
Galletita Chocodias de Chocolate 230 Gr.|595|104.00|DIA|https://diaonline.supermercadosdia.com.ar/galletita-chocodias-de-chocolate-230-gr-240133/p|01:24:38|2022-03-20
Bizcocho Don Satur Dulce 200 Gr.|77|64.00|DON SATUR|https://diaonline.supermercadosdia.com.ar/bizcocho-don-satur-dulce-200-gr-216576/p|01:24:38|2022-03-20
Bizcocho Don Satur Salado 200 Gr.|78|64.00|DON SATUR|https://diaonline.supermercadosdia.com.ar/bizcocho-don-satur-salado-200-gr-216575/p|01:24:38|2022-03-20
Galletitas DIA Avena y Chips de Chocolate 200 Gr.|244|79.00|DIA|https://diaonline.supermercadosdia.com.ar/galletitas-dia-avena-y-chips-de-chocolate-200-gr-197537/p|01:24:38|2022-03-20
Oblea DIA Chocolate 100 Gr.|672|39.00|DIA|https://diaonline.supermercadosdia.com.ar/oblea-dia-chocolate-100-gr-60446/p|01:24:38|2022-03-20
Obleas DIA Limón 100 Gr.|150|39.00|DIA|https://diaonline.supermercadosdia.com.ar/obleas-dia-limon-100-gr-60445/p|01:24:38|2022-03-20
Oblea DIA Frutilla 100 Gr.|218|39.00|DIA|https://diaonline.supermercadosdia.com.ar/oblea-dia-frutilla-100-gr-55566/p|01:24:38|2022-03-20
Azúcar Común tipo A Domino 1 Kg.|905|66.20|DOMINO|https://diaonline.supermercadosdia.com.ar/azucar-comun-tipo-a-domino-1-kg-46881/p|01:24:38|2022-03-20
Alfajor Triple Shot Chocolate 60 Gr.|229|92.00|SHOT|https://diaonline.supermercadosdia.com.ar/alfajor-triple-shot-chocolate-60-gr-23431/p|01:24:38|2022-03-20
Galletitas de Agua Mediatarde 420 Gr.|20|118.81|MEDIATARDE|https://diaonline.supermercadosdia.com.ar/galletitas-de-agua-mediatarde-420-gr-279057/p|01:24:38|2022-03-20
Grisines DIA 100 Gr.|61|59.00|DIA|https://diaonline.supermercadosdia.com.ar/grisines-dia-100-gr-277705/p|01:24:38|2022-03-20
Galletita Terrabusi Scons 160 Gr.|1284|110.85|TERRABUSI|https://diaonline.supermercadosdia.com.ar/galletita-terrabusi-scons-160-gr-276518/p|01:24:38|2022-03-20
Alfajor Tita 19 Gr.|618|55.00|TITA|https://diaonline.supermercadosdia.com.ar/alfajor-tita-19-gr-274902/p|01:24:38|2022-03-20
Alfajor Triple Oreo 56 Gr.|33|102.00|OREO|https://diaonline.supermercadosdia.com.ar/alfajor-triple-oreo-56-gr-274632/p|01:24:38|2022-03-20
Yerba Mate Cbse Hierbas Serranas 1 Kg.|121|479.00|CBSE|https://diaonline.supermercadosdia.com.ar/yerba-mate-cbse-hierbas-serranas-1-kg-274351/p|01:24:38|2022-03-20
Galletas Paseo Cracker 250 Gr.|11|75.00|PASEO|https://diaonline.supermercadosdia.com.ar/galletas-paseo-cracker-250-gr-273789/p|01:24:38|2022-03-20
Scnones 9 de Oro 180 Gr.|64|36.40|9 DE ORO|https://diaonline.supermercadosdia.com.ar/scnones-9-de-oro-180-gr-273728/p|01:24:38|2022-03-20
Dulce de Leche La Serenísima Colonial con Calcio 400 Gr.|131|182.24|LA SERENISIMA|https://diaonline.supermercadosdia.com.ar/dulce-de-leche-la-serenisima-colonial-con-calcio-400-gr-273373/p|01:24:38|2022-03-20
Tostadas de Arroz Molinos Ala Clásicas 120 Gr.|90|69.00|MOLINOS ALA|https://diaonline.supermercadosdia.com.ar/tostadas-de-arroz-molinos-ala-clasicas-120-gr-273324/p|01:24:38|2022-03-20
Galltetitas Terrabusi Variedad 410 Gr.|587|211.47|TERRABUSI|https://diaonline.supermercadosdia.com.ar/galltetitas-terrabusi-variedad-410-gr-273288/p|01:24:38|2022-03-20
Galletitas Bagley Surtidas 390 Gr.|37|220.96|BAGLEY|https://diaonline.supermercadosdia.com.ar/galletitas-bagley-surtidas-390-gr-271962/p|01:24:38|2022-03-20
Galletitas Oreo 118 Gr.|189|109.00|OREO|https://diaonline.supermercadosdia.com.ar/galletitas-oreo-118-gr-271629/p|01:24:38|2022-03-20
Galletitas Pepitos 119 Gr.|319|99.00|PEPITOS|https://diaonline.supermercadosdia.com.ar/galletitas-pepitos-119-gr-271628/p|01:24:38|2022-03-20
Criollitas 400 Gr.|321|119.00|CRIOLLITAS|https://diaonline.supermercadosdia.com.ar/criollitas-400-gr-271278/p|01:24:38|2022-03-20
Chicles Beldent Menta 10 Gr.|98|60.00|BELDENT|https://diaonline.supermercadosdia.com.ar/chicles-beldent-menta-10-gr-269580/p|01:24:38|2022-03-20
