nombre|stock|precio|marca|link|hora|fecha
Turboventilador Electrolux TU18C 80 W 3 Velocidades|50|10.999|ELECTROLUX       | VENDIDO POR: Electrolux|https://diaonline.supermercadosdia.com.ar/turboventilador-electrolux-tu18c-80-w-3-velocidades-719652/p|01:25:10|2022-03-20
Heladera No Frost Electrolux DF56S 504 lts|14|192.899|ELECTROLUX       | VENDIDO POR: Electrolux|https://diaonline.supermercadosdia.com.ar/heladera-no-frost-electrolux-df56s-504-lts-719508/p|01:25:10|2022-03-20
Vaporizador de Pisos Electrolux PowerMop+ MOP11|427|19.999|ELECTROLUX       | VENDIDO POR: Electrolux|https://diaonline.supermercadosdia.com.ar/vaporizador-de-pisos-electrolux-powermop--mop11-722529/p|01:25:10|2022-03-20
Licuadora Electrolux Bll18 1,5 Lts 600W 3 Velocidades - Jarra De Plástico|51|8.699|ELECTROLUX       | VENDIDO POR: Electrolux|https://diaonline.supermercadosdia.com.ar/licuadora-electrolux-bll18-15-lts-600w-3-velocidades---jarra-de-plastico-719666/p|01:25:10|2022-03-20
Ventilador De Pie Electrolux VP20C 95W 3 Velocidades Con Ionizador|42|10.999|ELECTROLUX       | VENDIDO POR: Electrolux|https://diaonline.supermercadosdia.com.ar/ventilador-de-pie-electrolux-vp20c-95w-3-velocidades-con-ionizador-719658/p|01:25:10|2022-03-20
Heladera Side by Side Electrolux ERSB51I5MQS 541lts|24|303.399|ELECTROLUX       | VENDIDO POR: Electrolux|https://diaonline.supermercadosdia.com.ar/heladera-side-by-side-electrolux-ersb51i5mqs-541lts-719495/p|01:25:10|2022-03-20
Lavarropas Carga Frontal Electrolux Inverter ELAF210B 10 Kg.|228|117.899|ELECTROLUX       | VENDIDO POR: Electrolux|https://diaonline.supermercadosdia.com.ar/lavarropas-carga-frontal-electrolux-inverter-elaf210b-10-kg--719492/p|01:25:10|2022-03-20
Tostadora KitchenAid 2 panes negro|14|17.199|WHIRLPOOL       | VENDIDO POR: Whirlrpool|https://diaonline.supermercadosdia.com.ar/tostadora-kitchenaid-2-panes-negro-722564/p|01:25:10|2022-03-20
Tostadora KitchenAid 2 panes rojo|13|17.199|WHIRLPOOL       | VENDIDO POR: Whirlrpool|https://diaonline.supermercadosdia.com.ar/tostadora-kitchenaid-2-panes-rojo-722563/p|01:25:10|2022-03-20
Procesador de alimentos 9 tazas NEGRO|41|59.399|WHIRLPOOL       | VENDIDO POR: Whirlrpool|https://diaonline.supermercadosdia.com.ar/procesador-de-alimentos-9-tazas-negro-722562/p|01:25:10|2022-03-20
Procesador de alimentos 9 tazas ROJO|40|59.399|WHIRLPOOL       | VENDIDO POR: Whirlrpool|https://diaonline.supermercadosdia.com.ar/procesador-de-alimentos-9-tazas-rojo-722561/p|01:25:10|2022-03-20
Accesorio KitchenAid Batidor plano Artisan|2|3.549|WHIRLPOOL       | VENDIDO POR: Whirlrpool|https://diaonline.supermercadosdia.com.ar/accesorio-kitchenaid-batidor-plano-artisan-722558/p|01:25:10|2022-03-20
Accesorio KitchenAid Gancho amasador de aluminio Artisan|1|3.549|WHIRLPOOL       | VENDIDO POR: Whirlrpool|https://diaonline.supermercadosdia.com.ar/accesorio-kitchenaid-gancho-amasador-de-aluminio-artisan-722556/p|01:25:10|2022-03-20
Batidora KitchenAid Heavy Duty 6,9 Lts Blanca|5|123.999|WHIRLPOOL       | VENDIDO POR: Whirlrpool|https://diaonline.supermercadosdia.com.ar/batidora-kitchenaid-heavy-duty-69-lts-blanca-722555/p|01:25:10|2022-03-20
Batidora KitchenAid Heavy Duty 6,9 Lts Rojo|14|123.999|WHIRLPOOL       | VENDIDO POR: Whirlrpool|https://diaonline.supermercadosdia.com.ar/batidora-kitchenaid-heavy-duty-69-lts-rojo-722554/p|01:25:10|2022-03-20
