nombre|stock|precio|marca|link|hora|fecha
Leche Entera DIA Larga Vida 1 Lt.|837|95.00|DIA|https://diaonline.supermercadosdia.com.ar/leche-entera-dia-larga-vida-1-lt-608/p|01:24:45|2022-03-20
Leche Semi Descremada DIA Larga Vida 1 Lt.|1553|95.00|DIA|https://diaonline.supermercadosdia.com.ar/leche-semi-descremada-dia-larga-vida-1-lt-504/p|01:24:45|2022-03-20
Cebolla Elegida Premium x 1 Kg.|283|109|SIN MARCA|https://diaonline.supermercadosdia.com.ar/cebolla-elegida-premium-x-1-kg-90141/p|01:24:45|2022-03-20
Anco x 1 Kg.|291|69|DIA|https://diaonline.supermercadosdia.com.ar/anco-x-1-kg-90120/p|01:24:45|2022-03-20
Papa Negra x 1 Kg.|271|69.9|SIN MARCA|https://diaonline.supermercadosdia.com.ar/papa-negra-x-1-kg-90094/p|01:24:45|2022-03-20
Manteca DIA Calidad Extra 100 Gr.|151|105.99|DIA|https://diaonline.supermercadosdia.com.ar/manteca-dia-calidad-extra-100-gr-89361/p|01:24:45|2022-03-20
Manteca Yolcle 200 Gr.|193|139.00|YOLCLE|https://diaonline.supermercadosdia.com.ar/manteca-yolcle-200-gr-51053/p|01:24:45|2022-03-20
Levadura Calsa 50 Gr.|166|22.00|CALSA|https://diaonline.supermercadosdia.com.ar/levadura-calsa-50-gr-13821/p|01:24:45|2022-03-20
Queso Untable La Serenísima Light 290 Gr.|83|180.00|LA SERENISIMA|https://diaonline.supermercadosdia.com.ar/queso-untable-la-serenisima-light-290-gr-283261/p|01:24:45|2022-03-20
Queso Untable Light Casancrem 290 Gr.|146|199.00|CASANCREM|https://diaonline.supermercadosdia.com.ar/queso-untable-light-casancrem-290-gr-283200/p|01:24:45|2022-03-20
Queso Untable Casancrem Clásico 290 Gr.|132|199.00|CASANCREM|https://diaonline.supermercadosdia.com.ar/queso-untable-casancrem-clasico-290-gr-283199/p|01:24:45|2022-03-20
Crema de Leche Tregar Doble 200 Gr.|47|114.99|TREGAR|https://diaonline.supermercadosdia.com.ar/crema-de-leche-tregar-doble-200-gr-275416/p|01:24:45|2022-03-20
Queso Untable Light Finlandia 290 Gr.|70|381.70|LA SERENISIMA|https://diaonline.supermercadosdia.com.ar/queso-untable-light-finlandia-290-gr-273224/p|01:24:45|2022-03-20
Leche Entera La Serenísima 3% Larga vida 1 Lt.|67|116.06|LA SERENISIMA|https://diaonline.supermercadosdia.com.ar/leche-entera-la-serenisima-3--larga-vida-1-lt-272928/p|01:24:45|2022-03-20
