nombre|stock|precio|marca|link|hora|fecha
Lámpara Led Bixler Cálida 11 W 1 Un.|76|189.99|BIXLER|https://diaonline.supermercadosdia.com.ar/lampara-led-bixler-calida-11-w-1-un-231922/p|01:25:14|2022-03-20
Lámpara Led Bixler 9 W Fría|53|189.99|BIXLER|https://diaonline.supermercadosdia.com.ar/lampara-led-bixler-9-w-fria-231917/p|01:25:14|2022-03-20
Lápiz Grafito BIC Evolution HB N°2 4 Un.|64|49.99|BIC|https://diaonline.supermercadosdia.com.ar/lapiz-grafito-bic-evolution-hb-n°2-4-un-224461/p|01:25:14|2022-03-20
Bolígrafo BIC opaco azul 3 Un.|147|49.99|BIC|https://diaonline.supermercadosdia.com.ar/boligrafo-bic-opaco-azul-3-un-130451/p|01:25:14|2022-03-20
Lámpara Led Bixler 9 W Cálida|105|189.99|BIXLER|https://diaonline.supermercadosdia.com.ar/lampara-led-bixler-9-w-calida-231921/p|01:25:14|2022-03-20
LAMPARA LED 7W FRIA BIXLER|44|189.99|BIXLER|https://diaonline.supermercadosdia.com.ar/lampara-led-7w-fria-bixler-231916/p|01:25:14|2022-03-20
Pegamento Instantáneo La Gotita 2 Ml.|94|178.99|SIN MARCA|https://diaonline.supermercadosdia.com.ar/pegamento-instantaneo-la-gotita-2-ml-114924/p|01:25:14|2022-03-20
Pilas Alcalinas Duracell AA 4 Un.|14|539.00|DURACELL|https://diaonline.supermercadosdia.com.ar/pilas-alcalinas-duracell-aa-4-un-36036/p|01:25:14|2022-03-20
Contenedores Plásticos Surtidos x Un.|55|1.00|PLASVALE|https://diaonline.supermercadosdia.com.ar/contenedores-plasticos-surtidos-x-un-267399/p|01:25:14|2022-03-20
Lámpara Led Bixler Cálida 5 W 1 Un.|17|189.99|BIXLER|https://diaonline.supermercadosdia.com.ar/lampara-led-bixler-calida-5-w-1-un-231919/p|01:25:14|2022-03-20
PILA ALCALINA AA DURACELL 6+2 GRATIS|7|222.50|DURACELL|https://diaonline.supermercadosdia.com.ar/pila-alcalina-aa-duracell-62-gratis-145561/p|01:25:14|2022-03-20
Lentes para Navidad de Reno 1 Un.|16|1.00|VIHA|https://diaonline.supermercadosdia.com.ar/lentes-para-navidad-de-reno-1-un-279973/p|01:25:14|2022-03-20
Portavela de Halloween Naranja 1 Un.|6|1.00|VIHA|https://diaonline.supermercadosdia.com.ar/portavela-de-halloween-naranja-1-un-278972/p|01:25:14|2022-03-20
Bombilla para Mate con resorte 1 Un.|34|229.99|FARY HOME|https://diaonline.supermercadosdia.com.ar/bombilla-para-mate-con-resorte-1-un-278451/p|01:25:14|2022-03-20
Adhesivo para Zapatillas Éccole 9 Gr.|85|454.99|ECCOLE|https://diaonline.supermercadosdia.com.ar/adhesivo-para-zapatillas-eccole-9-gr-276966/p|01:25:14|2022-03-20
