nombre|stock|precio|marca|link|hora|fecha
Turrón de Maní DIA con Cacao 100 Gr.|49|13.80|DIA|https://diaonline.supermercadosdia.com.ar/turron-de-mani-dia-con-cacao-100-gr-76557/p|01:25:07|2022-03-20
Pasas de Uva Delicious con Chocolate 80 Gr.|10|39.80|DIA|https://diaonline.supermercadosdia.com.ar/pasas-de-uva-delicious-con-chocolate-80-gr-277369/p|01:25:07|2022-03-20
Arándanos Bañados en Chocolate DIA Delicious 80 Gr.|8|39.80|DIA|https://diaonline.supermercadosdia.com.ar/arandanos-banados-en-chocolate-dia-delicious-80-gr-259667/p|01:25:07|2022-03-20
Pasas de Uva DIA con Chocolate 100 Gr.|289|27|DIA|https://diaonline.supermercadosdia.com.ar/pasas-de-uva-dia-con-chocolate-100-gr-64167/p|01:25:07|2022-03-20
Naranjas DIA Delicious con Cobertura de Chocolate 80 Gr.|13|39.80|DIA|https://diaonline.supermercadosdia.com.ar/naranjas-dia-delicious-con-cobertura-de-chocolate-80-gr-259666/p|01:25:07|2022-03-20
Confites Vizzio Maní Crocante 33 Gr.|405|39|VIZZIO|https://diaonline.supermercadosdia.com.ar/confites-vizzio-mani-crocante-33-gr-227443/p|01:25:07|2022-03-20
Chocolate con Almendras Vizzio 33 Gr.|67|39|VIZZIO|https://diaonline.supermercadosdia.com.ar/chocolate-con-almendras-vizzio-33-gr-243203/p|01:25:07|2022-03-20
Cereal Vizzio bañado en Chocolate 25 Gr.|44|39|VIZZIO|https://diaonline.supermercadosdia.com.ar/cereal-vizzio-banado-en-chocolate-25-gr-243204/p|01:25:07|2022-03-20
Scnones 9 de Oro 180 Gr.|64|36.40|9 DE ORO|https://diaonline.supermercadosdia.com.ar/scnones-9-de-oro-180-gr-273728/p|01:25:07|2022-03-20
Galletitas Pepas Terepin Membrillo 35 Gr.|195|12.50|TEREPIN|https://diaonline.supermercadosdia.com.ar/galletitas-pepas-terepin-membrillo-35-gr-164353/p|01:25:07|2022-03-20
Palmeras de Hojaldre Mafalda 150 Gr.|26|45.95|MAFALDA|https://diaonline.supermercadosdia.com.ar/palmeras-de-hojaldre-mafalda-150-gr-282593/p|01:25:07|2022-03-20
Tostadas de Arroz Molinos Ala Clásicas 120 Gr.|90|69|MOLINOS ALA|https://diaonline.supermercadosdia.com.ar/tostadas-de-arroz-molinos-ala-clasicas-120-gr-273324/p|01:25:07|2022-03-20
Bizcochos 9 de Oro Agridulces 215 Gr.|1247|65|9 DE ORO|https://diaonline.supermercadosdia.com.ar/bizcochos-9-de-oro-agridulces-215-gr-276968/p|01:25:07|2022-03-20
Galletitas Macucas 110 Gr.|3501|49|MACUCAS|https://diaonline.supermercadosdia.com.ar/galletitas-macucas-110-gr-272217/p|01:25:07|2022-03-20
Alfajor de Arroz Chocoarroz Limón 6 Un. 132 Gr.|38|299|CHOCOARROZ|https://diaonline.supermercadosdia.com.ar/alfajor-de-arroz-chocoarroz-limon-6-un-132-gr-283351/p|01:25:07|2022-03-20
Alfajor de Arroz Chocoarroz Dulce de Leche 6 Un. 132 Gr.|50|299.00|CHOCOARROZ|https://diaonline.supermercadosdia.com.ar/alfajor-de-arroz-chocoarroz-dulce-de-leche-6-un-132-gr-283350/p|01:25:07|2022-03-20
Oblea DIA Chocolate 100 Gr.|672|39.00|DIA|https://diaonline.supermercadosdia.com.ar/oblea-dia-chocolate-100-gr-60446/p|01:25:07|2022-03-20
Obleas DIA Limón 100 Gr.|150|39.00|DIA|https://diaonline.supermercadosdia.com.ar/obleas-dia-limon-100-gr-60445/p|01:25:07|2022-03-20
