nombre|stock|precio|marca|link|hora|fecha
Rollo de Cocina DIA 50 Paños 3 Ud.|788|147.00|DIA|https://diaonline.supermercadosdia.com.ar/rollo-de-cocina-dia-50-panos-3-ud-140089/p|01:24:56|2022-03-20
Papel Higiénico DIA Simple Hoja 4 Rollos 30 Mts.|751|95.00|DIA|https://diaonline.supermercadosdia.com.ar/papel-higienico-dia-simple-hoja-4-rollos-30-mts-16950/p|01:24:56|2022-03-20
Papel Higiénico DIA Simple Hoja 4 Rollos 80 Mts.|193|292.00|DIA|https://diaonline.supermercadosdia.com.ar/papel-higienico-dia-simple-hoja-4-rollos-80-mts-15425/p|01:24:56|2022-03-20
Rollo de Cocina DIA 3 Ud. 100 Paños|530|219.00|DIA|https://diaonline.supermercadosdia.com.ar/rollo-de-cocina-dia-3-ud-100-panos-173992/p|01:24:56|2022-03-20
Detergente Magistral Limón 500 Ml.|98|208.00|MAGISTRAL|https://diaonline.supermercadosdia.com.ar/detergente-magistral-limon-500-ml-127276/p|01:24:56|2022-03-20
Papel Higiénico DIA Doble Hoja 4 rollos 30 Mts.|209|229.00|DIA|https://diaonline.supermercadosdia.com.ar/papel-higienico-dia-doble-hoja-4-rollos-30-mts-16949/p|01:24:56|2022-03-20
Papel Higiénico Higienol Hoja Simple 50 Mts. 4 Rollos|271|140.56|HIGIENOL|https://diaonline.supermercadosdia.com.ar/papel-higienico-higienol-hoja-simple-50-mts-4-rollos-278440/p|01:24:56|2022-03-20
Desinfectante en Aerosol Ayudín Expert Original 332 Ml.|15|159.00|AYUDIN|https://diaonline.supermercadosdia.com.ar/desinfectante-en-aerosol-ayudin-expert-original-332-ml-276045/p|01:24:56|2022-03-20
Lavandina Clásica Ayudín 2 Lt.|15|170.00|AYUDIN|https://diaonline.supermercadosdia.com.ar/lavandina-clasica-ayudin-2-lt-273381/p|01:24:56|2022-03-20
Detergente Cif Limón Verde Recarga 450 Ml.|35|165.00|CIF|https://diaonline.supermercadosdia.com.ar/detergente-cif-limon-verde-recarga-450-ml-273194/p|01:24:56|2022-03-20
Insecticida Raid contra Mosquitos Tabletas Repuesto 12 Un.|24|138.00|RAID|https://diaonline.supermercadosdia.com.ar/insecticida-raid-contra-mosquitos-tabletas-repuesto-12-un-270481/p|01:24:56|2022-03-20
Limpiador Líquido Cif Baño Biodegradable Doypack 450 Ml.|38|84.50|CIF|https://diaonline.supermercadosdia.com.ar/limpiador-liquido-cif-bano-biodegradable-doypack-450-ml-269587/p|01:24:56|2022-03-20
Papel Higiénico Sanidad Simple Hoja 4 x 80 Mts.|86|234.35|SANIDOG|https://diaonline.supermercadosdia.com.ar/papel-higienico-sanidad-simple-hoja-4-x-80-mts-269485/p|01:24:56|2022-03-20
Suavizante Concentrado para Ropa Downy 400 Ml.|37|278.00|DOWNY|https://diaonline.supermercadosdia.com.ar/suavizante-concentrado-para-ropa-downy-400-ml-259788/p|01:24:56|2022-03-20
Repelente para Mosquitos Fuyi Aerosol 165 cc|130|115.00|FUYI|https://diaonline.supermercadosdia.com.ar/repelente-para-mosquitos-fuyi-aerosol-165-cc-255732/p|01:24:56|2022-03-20
Papel Higiénico DIA Simple Hoja 6 rollos 30 Mts.|396|159.00|DIA|https://diaonline.supermercadosdia.com.ar/papel-higienico-dia-simple-hoja-6-rollos-30-mts-246978/p|01:24:56|2022-03-20
Rollo de Cocina Golf 3 Ud. 40 Mts.|151|125.00|GOLF|https://diaonline.supermercadosdia.com.ar/rollo-de-cocina-golf-3-ud-40-mts-240098/p|01:24:56|2022-03-20
Espirales Para Mosquitos Fuyí Country Fresh 12 Ud.|237|62.00|FUYI|https://diaonline.supermercadosdia.com.ar/espirales-para-mosquitos-fuyi-country-fresh-12-ud-197986/p|01:24:56|2022-03-20
Rollo de Cocina 70 paños 3 Ud.|300|205.00|DIA|https://diaonline.supermercadosdia.com.ar/rollo-de-cocina-70-panos-3-ud-176203/p|01:24:56|2022-03-20
Jabón Líquido para ropa DIA 1500 Ml.|183|219.00|DIA|https://diaonline.supermercadosdia.com.ar/jabon-liquido-para-ropa-dia-1500-ml-148933/p|01:24:56|2022-03-20
Bolsas de Residuos Priste 30 Ud.|51|199.99|PRISTE|https://diaonline.supermercadosdia.com.ar/bolsas-de-residuos-priste-30-ud-140910/p|01:24:56|2022-03-20
Papel Higiénico Priste Simple Hoja 4 Rollos 30 Mts.|977|115.00|PRISTE|https://diaonline.supermercadosdia.com.ar/papel-higienico-priste-simple-hoja-4-rollos-30-mts-119145/p|01:24:56|2022-03-20
Esponja Virulana Fibra Extra Duración|228|33.02|VIRULANA|https://diaonline.supermercadosdia.com.ar/esponja-virulana-fibra-extra-duracion-56332/p|01:24:56|2022-03-20
Papel Higiénico DIA Doble Hoja 6 rollos 30 Mts.|35|345.00|DIA|https://diaonline.supermercadosdia.com.ar/papel-higienico-dia-doble-hoja-6-rollos-30-mts-834/p|01:24:56|2022-03-20
Desinfectante de Ambientes y Elimina Olores Lysoform Aire de Montaña en Aerosol 360 Ml.|45|244.00|LYSOFORM|https://diaonline.supermercadosdia.com.ar/desinfectante-de-ambientes-y-elimina-olores-lysoform-aire-de-montana-en-aerosol-360-ml-279727/p|01:24:56|2022-03-20
Repelente en Aerosol OFF! Family 170 Ml.|1245|199.00|OFF|https://diaonline.supermercadosdia.com.ar/repelente-en-aerosol-off--family-170-ml-278036/p|01:24:56|2022-03-20
Jabón Líquido Ariel Expert+ Pouch 3 Lts.|5|1.100.00|ARIEL|https://diaonline.supermercadosdia.com.ar/jabon-liquido-ariel-expert-pouch-3-lts-278035/p|01:24:56|2022-03-20
Insecticida Raid Mata Moscas y Mosquitos Nueva Fórmula x2 más rápido en Aerosol 370 Ml.|27|295.00|RAID|https://diaonline.supermercadosdia.com.ar/insecticida-raid-mata-moscas-y-mosquitos-nueva-formula-x2-mas-rapido-en-aerosol-370-ml-278021/p|01:24:56|2022-03-20
Lavandina en Gel Ayudín Lavanda 700 ml|21|150.00|AYUDIN|https://diaonline.supermercadosdia.com.ar/lavandina-en-gel-ayudin-lavanda-700-ml-276040/p|01:24:56|2022-03-20
Lavandina en Gel Ayudín Pureza Cítrica 700 ml|25|150.00|AYUDIN|https://diaonline.supermercadosdia.com.ar/lavandina-en-gel-ayudin-pureza-citrica-700-ml-276039/p|01:24:56|2022-03-20
Rollo de Cocina Sussex Clásico 50 Paños 3 Rollos|34|169.29|SUSSEX|https://diaonline.supermercadosdia.com.ar/rollo-de-cocina-sussex-clasico-50-panos-3-rollos-274560/p|01:24:56|2022-03-20
Paños Multiusos Mortimer Multicolor 3 Un.|71|190.00|MORTIMER|https://diaonline.supermercadosdia.com.ar/panos-multiusos-mortimer-multicolor-3-un-274364/p|01:24:56|2022-03-20
Esponja Antibacterial Mortimer 1 Un.|101|44.00|MORTIMER|https://diaonline.supermercadosdia.com.ar/esponja-antibacterial-mortimer-1-un-274363/p|01:24:56|2022-03-20
Limpiador Desinfectante Poett Flores Primavera 900 Ml.|3|126.00|POETT|https://diaonline.supermercadosdia.com.ar/limpiador-desinfectante-poett-flores-primavera-900-ml-274343/p|01:24:56|2022-03-20
Limpiador Desinfectante Poett Lavanda 900 Ml.|71|126.00|POETT|https://diaonline.supermercadosdia.com.ar/limpiador-desinfectante-poett-lavanda-900-ml-274342/p|01:24:56|2022-03-20
Lavandina Clásica Ayudín 1 Lt.|62|89.00|AYUDIN|https://diaonline.supermercadosdia.com.ar/lavandina-clasica-ayudin-1-lt-273380/p|01:24:56|2022-03-20
Detergente Cif Bio Active Limón Verde 500 Ml.|52|228.00|CIF|https://diaonline.supermercadosdia.com.ar/detergente-cif-bio-active-limon-verde-500-ml-273199/p|01:24:56|2022-03-20
Jabón Líquido para la Ropa Intense Doypack 800 Ml.|34|113.47|ECOVITA|https://diaonline.supermercadosdia.com.ar/jabon-liquido-para-la-ropa-intense-doypack-800-ml-271997/p|01:24:56|2022-03-20
Limpiador Líquido Cif Vidrios Biodegradable Doypack 450 Ml.|43|84.50|CIF|https://diaonline.supermercadosdia.com.ar/limpiador-liquido-cif-vidrios-biodegradable-doypack-450-ml-271626/p|01:24:56|2022-03-20
Lavandina Ayudín Antisplash 1 Lt.|46|110.00|AYUDIN|https://diaonline.supermercadosdia.com.ar/lavandina-ayudin-antisplash-1-lt-271317/p|01:24:56|2022-03-20
Limpiador de Pisos Ecovita Lavanda Botella 900 Ml.|38|75.05|ECOVITA|https://diaonline.supermercadosdia.com.ar/limpiador-de-pisos-ecovita-lavanda-botella-900-ml-269897/p|01:24:56|2022-03-20
Rollos de Cocina Campanita Doble Hoja 200 Paños|18|182.00|CAMPANITA|https://diaonline.supermercadosdia.com.ar/rollos-de-cocina-campanita-doble-hoja-200-panos-269694/p|01:24:56|2022-03-20
Rollo de Cocina Rolisec 3 x 40 paños|20|118.81|ROLISEC|https://diaonline.supermercadosdia.com.ar/rollo-de-cocina-rolisec-3-x-40-panos-269487/p|01:24:56|2022-03-20
Toallitas Desinfectantes Ayudín Flowpack Limón 24 Un.|80|139.00|AYUDIN|https://diaonline.supermercadosdia.com.ar/toallitas-desinfectantes-ayudin-flowpack-limon-24-un-267479/p|01:24:56|2022-03-20
Limpiador Cremoso Cif Ultra Blanco 500 Ml.|116|163.59|CIF|https://diaonline.supermercadosdia.com.ar/limpiador-cremoso-cif-ultra-blanco-500-ml-264577/p|01:24:56|2022-03-20
Servilletas Campanita 70 Ud.|54|72.82|CAMPANITA|https://diaonline.supermercadosdia.com.ar/servilletas-campanita-70-ud-239369/p|01:24:56|2022-03-20
Barra Quitamanchas DIA 75 Gr.|61|99.00|DIA|https://diaonline.supermercadosdia.com.ar/barra-quitamanchas-dia-75-gr-234637/p|01:24:56|2022-03-20
Detergente Magistral Limón 750 Ml.|27|392.00|MAGISTRAL|https://diaonline.supermercadosdia.com.ar/detergente-magistral-limon-750-ml-191946/p|01:24:56|2022-03-20
