nombre|stock|precio|marca|link|hora|fecha
Alimento para Gato Gati Pollo, Zanahoria y Espinaca 1 Kg.|6|178.10|GATI|https://diaonline.supermercadosdia.com.ar/alimento-para-gato-gati-pollo-zanahoria-y-espinaca-1-kg-273875/p|01:25:03|2022-03-20
Piedritas Sanitarias DIA 2 Kg.|24|269.99|DIA|https://diaonline.supermercadosdia.com.ar/piedritas-sanitarias-dia-2-kg-148397/p|01:25:03|2022-03-20
Alimento para Gatos DIA Pescado 500 Gr.|55|145.00|DIA|https://diaonline.supermercadosdia.com.ar/alimento-para-gatos-dia-pescado-500-gr-69692/p|01:25:03|2022-03-20
Alimento para Perros Dogui Cachorro con Carne, Pollo, Cereales, Vegetales y Leche 1,5 Kg.|20|431.34|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-cachorro-con-carne-pollo-cereales-vegetales-y-leche-15-kg-278722/p|01:25:03|2022-03-20
Alimento para Perros Dogui Pollo con Vegetales 1,5 Kg.|12|189.10|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-pollo-con-vegetales-15-kg-270257/p|01:25:03|2022-03-20
Alimento para Gatos Cat Chow Adultos Pescado 500 Gr.|16|266.51|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-gatos-cat-chow-adultos-pescado-500-gr-104374/p|01:25:03|2022-03-20
Alimento para Perros DIA Adultos Carne 3 Kg.|11|475.00|DIA|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dia-adultos-carne-3-kg-69640/p|01:25:03|2022-03-20
Alimento Seco para Gatos Gati Salmón y Pollo 500 Gr.|15|229.35|GATI|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-gati-salmon-y-pollo-500-gr-282738/p|01:25:03|2022-03-20
Alimento Seco para Gatos Purina One Gatitos Pollo y Carne 500 Gr.|14|434.91|PURINA ONE|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-purina-one-gatitos-pollo-y-carne-500-gr-277853/p|01:25:03|2022-03-20
Alimento para Gatos Cat Chow Mariscos y Pescado 1 Kg.|13|454.00|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-gatos-cat-chow-mariscos-y-pescado-1-kg-270253/p|01:25:03|2022-03-20
Alimento para Perros DIA Adultos Carne 1,3 Kg.|26|220.00|DIA|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dia-adultos-carne-13-kg-119305/p|01:25:03|2022-03-20
Alimento Seco para Gatos Cat Chow Adultos Carne y Pollo 500 Gr.|24|351.20|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-cat-chow-adultos-carne-y-pollo-500-gr-282811/p|01:25:03|2022-03-20
Alimento Seco para Gatos Gati Salmón y Pollo 3 Kg.|8|993.32|GATI|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-gati-salmon-y-pollo-3-kg-282739/p|01:25:03|2022-03-20
Alimento para Perros Dogui Cachorro con Carne, Pollo, Cereales, Vegetales y Leche 3 Kg.|8|775.88|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-cachorro-con-carne-pollo-cereales-vegetales-y-leche-3-kg-278724/p|01:25:03|2022-03-20
Alimento para Perros Dogui con Carne, Pollo, Cereales y Vegetales 1,5 Kg.|11|392.00|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-con-carne-pollo-cereales-y-vegetales-15-kg-278721/p|01:25:03|2022-03-20
Alimento para Perros Dogui con Carne, Pollo, Cereales y Vegetales 8 Kg.|3|1.673.06|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-con-carne-pollo-cereales-y-vegetales-8-kg-278719/p|01:25:03|2022-03-20
Alimento para Perros Dog Chow Control de Peso Adultos 1,5 Kg.|2|360.00|DOG CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dog-chow-control-de-peso-adultos-15-kg-274871/p|01:25:03|2022-03-20
Alimento para Perros Dog Chow Adultos sin colorantes Pollo y Carne 3 Kg.|2|640.00|DOG CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dog-chow-adultos-sin-colorantes-pollo-y-carne-3-kg-273376/p|01:25:03|2022-03-20
Alimento para Gatos Cat Chow 1 - 12 meses 500 Gr.|11|228.14|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-para-gatos-cat-chow-1--12-meses-500-gr-236978/p|01:25:03|2022-03-20
Alimento para Perros DIA Adultos Carne 8 Kg.|7|1.230.00|DIA|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dia-adultos-carne-8-kg-69690/p|01:25:03|2022-03-20
Piedras Sanitarias Michi Feliz|311|150.00|Michi Feliz       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/piedras-sanitarias-michi-feliz-721171/p|01:25:03|2022-03-20
Golden Breeze Diatomita Extra Dry|421|190.00|Golden Breeze       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/golden-breeze-diatomita-extra-dry-720156/p|01:25:03|2022-03-20
Alimento Seco para Gatos Cat Chow Adultos Carne y Pollo 1 Kg.|6|634.54|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-cat-chow-adultos-carne-y-pollo-1-kg-282812/p|01:25:03|2022-03-20
Alimento Seco para Gatos Cat Chow Adultos Pollo y Pescado 3 Kg.|8|1.745.39|CAT CHOW|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-cat-chow-adultos-pollo-y-pescado-3-kg-282810/p|01:25:03|2022-03-20
Alimento para Perros Dogui con Carne, Pollo, Cereales y Vegetales 15 Kg.|1|2.940.93|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-perros-dogui-con-carne-pollo-cereales-y-vegetales-15-kg-278723/p|01:25:03|2022-03-20
Alimento Seco para Gatos Purina One Adultos Pollo y Carne 2 Kg.|6|1.467.55|PURINA ONE|https://diaonline.supermercadosdia.com.ar/alimento-seco-para-gatos-purina-one-adultos-pollo-y-carne-2-kg-277850/p|01:25:03|2022-03-20
Alimento para Cachorro Dogui Carne, Leche y Cereales 2,7 Kg.|5|536.00|ARTESANAL|https://diaonline.supermercadosdia.com.ar/alimento-para-cachorro-dogui-carne-leche-y-cereales-27-kg-273378/p|01:25:03|2022-03-20
Felix Pouch Pescado Blanco Con Salsa|386|100.00|FELIX       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/felix-pouch-pescado-blanco-con-salsa-721705/p|01:25:03|2022-03-20
Pouch Fancy Feast Cass Atun Y Salmon|363|190.00|FANCY FEAST       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pouch-fancy-feast-cass-atun-y-salmon-720571/p|01:25:03|2022-03-20
Comedero Plastico Come Lento|26|890.00|COLON (VINO)       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/comedero-plastico-come-lento-722486/p|01:25:03|2022-03-20
Bozal Canasta|1|900.00|Lazy Dog       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/bozal-canasta-722481/p|01:25:03|2022-03-20
Pelota Pesada Irregular|57|1.450.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/pelota-pesada-irregular-722480/p|01:25:03|2022-03-20
Bola Con Campana Y Soga De Nylon|14|1.630.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/bola-con-campana-y-soga-de-nylon-722479/p|01:25:03|2022-03-20
Aro De Goma Strong|7|2.720.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/aro-de-goma-strong-722478/p|01:25:03|2022-03-20
Smart Gourd Porta Alimento|1|3.880.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/smart-gourd-porta-alimento-722476/p|01:25:03|2022-03-20
Smart Rugby Ball Para Snacks|19|2.140.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/smart-rugby-ball-para-snacks-722475/p|01:25:03|2022-03-20
Smart Big Ball|15|2.790.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/smart-big-ball-722473/p|01:25:03|2022-03-20
Action Baseball Con Manija De Soga|1|3.540.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/action-baseball-con-manija-de-soga-722472/p|01:25:03|2022-03-20
Action Rugby Con Soga|18|3.810.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/action-rugby-con-soga-722471/p|01:25:03|2022-03-20
Dental Mordillo Dumbell|216|3.180.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/dental-mordillo-dumbell-722470/p|01:25:03|2022-03-20
Dental Stick Con Soga|6|2.540.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/dental-stick-con-soga-722469/p|01:25:03|2022-03-20
Dental Rugby|70|2.730.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/dental-rugby-722468/p|01:25:03|2022-03-20
Dental Baseball|1|2.100.00|CanCat       | VENDIDO POR: Puppis|https://diaonline.supermercadosdia.com.ar/dental-baseball-722467/p|01:25:03|2022-03-20
