nombre|stock|precio|marca|link|hora|fecha
Crema Dental Colgate Luminous White Brilliant 90 Gr.|27|229.00|COLGATE|https://diaonline.supermercadosdia.com.ar/crema-dental-colgate-luminous-white-brilliant-90-gr-278358/p|01:24:52|2022-03-20
Máquinas Desechables Para Depilar Gillette Venus Suave 2 Un.|27|279.00|VENUS|https://diaonline.supermercadosdia.com.ar/maquinas-desechables-para-depilar-gillette-venus-suave-2-un-275873/p|01:24:52|2022-03-20
Jabón de Tocador Dove Original Individual 90 Gr.R|65|165.49|DOVE|https://diaonline.supermercadosdia.com.ar/jabon-de-tocador-dove-original-individual-90-grr-83011/p|01:24:52|2022-03-20
Hisopos Doncella 100 Un.|33|158.00|DONCELLA|https://diaonline.supermercadosdia.com.ar/hisopos-doncella-100-un-282934/p|01:24:52|2022-03-20
Jabón de Tocador Palmolive Karité 270 Gr.|93|169.00|PALMOLIVE|https://diaonline.supermercadosdia.com.ar/jabon-de-tocador-palmolive-karite-270-gr-280043/p|01:24:52|2022-03-20
Toallita Femenina Kotex Esencial 16 Un.|40|175.00|KOTEX|https://diaonline.supermercadosdia.com.ar/toallita-femenina-kotex-esencial-16-un-276724/p|01:24:52|2022-03-20
Crema Dental Colgate Limpieza Completa 90 Gr.|70|243.00|COLGATE|https://diaonline.supermercadosdia.com.ar/crema-dental-colgate-limpieza-completa-90-gr-274346/p|01:24:52|2022-03-20
Desodorante Antitranspirante Rexona Women Fútbal Fanáticas en aerosol 150 Ml.|10|143.00|REXONA|https://diaonline.supermercadosdia.com.ar/desodorante-antitranspirante-rexona-women-futbal-fanaticas-en-aerosol-150-ml-274323/p|01:24:52|2022-03-20
Desodorante Antibacterial Rexona Men 150 Ml.|11|191.63|REXONA|https://diaonline.supermercadosdia.com.ar/desodorante-antibacterial-rexona-men-150-ml-274289/p|01:24:52|2022-03-20
Desodorante Antitranspirante Dove Original 87 Gr.|49|224.00|DOVE|https://diaonline.supermercadosdia.com.ar/desodorante-antitranspirante-dove-original-87-gr-273385/p|01:24:52|2022-03-20
Crema Dental Odol Doble Proteccióin 90 Gr.|23|99.96|ODOL|https://diaonline.supermercadosdia.com.ar/crema-dental-odol-doble-proteccioin-90-gr-271940/p|01:24:52|2022-03-20
Crema Dental Odol Doble Protección 180 Gr.|19|211.84|ODOL|https://diaonline.supermercadosdia.com.ar/crema-dental-odol-doble-proteccion-180-gr-271939/p|01:24:52|2022-03-20
Desodorante AXE Gold Oud wood y Vainilla 150 Ml.|11|165.00|AXE|https://diaonline.supermercadosdia.com.ar/desodorante-axe-gold-oud-wood-y-vainilla-150-ml-271877/p|01:24:52|2022-03-20
Jabón Líquido para cuerpo Palmolive Jazmín Repuesto 200 Ml.|58|119.00|PALMOLIVE|https://diaonline.supermercadosdia.com.ar/jabon-liquido-para-cuerpo-palmolive-jazmin-repuesto-200-ml-264432/p|01:24:52|2022-03-20
